Date,Open,High,Low,Close,Volume
"Oct 29, 2010",22.0,23.15,21.8,23.1,2214406404.0
"Nov 1, 2010",23.0,23.6,22.9,23.0,354288959.0
"Nov 2, 2010",23.0,23.0,22.55,22.65,165795570.0
"Nov 3, 2010",22.65,22.8,22.45,22.65,181364196.0
"Nov 4, 2010",22.75,22.9,22.7,22.9,107108566.0
"Nov 5, 2010",23.2,23.75,23.0,23.05,218154896.0
"Nov 8, 2010",23.1,23.7,23.1,23.65,151807278.0
"Nov 9, 2010",23.6,23.95,23.5,23.7,186787428.0
"Nov 10, 2010",23.65,23.65,23.15,23.55,170176318.0
"Nov 11, 2010",23.85,24.6,23.55,24.45,609203714.0
"Nov 12, 2010",24.0,24.0,23.35,23.35,181891552.0
"Nov 15, 2010",23.85,23.85,23.25,23.5,58157760.0
"Nov 16, 2010",23.6,23.6,22.95,23.4,66258996.0
"Nov 17, 2010",23.15,23.3,22.7,22.7,80271002.0
"Nov 18, 2010",23.15,23.4,23.0,23.3,58038403.0
"Nov 19, 2010",23.4,23.4,23.0,23.25,34120123.0
"Nov 22, 2010",23.25,23.3,22.9,23.0,42937986.0
"Nov 23, 2010",22.8,23.05,22.65,22.75,57604845.0
"Nov 24, 2010",22.75,22.9,22.5,22.7,71606551.0
"Nov 25, 2010",22.9,22.9,22.5,22.65,33543250.0
"Nov 26, 2010",22.55,22.65,22.4,22.55,36355685.0
"Nov 29, 2010",22.4,22.7,22.4,22.6,29478529.0
"Nov 30, 2010",22.55,22.65,22.2,22.4,56358898.0
"Dec 1, 2010",22.7,23.1,22.55,22.9,72802933.0
"Dec 2, 2010",23.25,23.45,22.6,22.85,151491194.0
"Dec 3, 2010",22.55,22.75,22.5,22.55,90298637.0
"Dec 6, 2010",22.8,22.85,22.4,22.5,43998297.0
"Dec 7, 2010",22.35,22.6,22.2,22.5,33546242.0
"Dec 8, 2010",22.55,22.7,22.4,22.55,54554172.0
"Dec 9, 2010",22.5,22.6,22.35,22.4,30037818.0
"Dec 10, 2010",22.25,22.4,22.15,22.25,37053699.0
"Dec 13, 2010",22.35,22.5,22.2,22.3,37861133.0
"Dec 14, 2010",22.25,22.35,22.1,22.15,29359733.0
"Dec 15, 2010",22.15,22.25,21.95,22.2,59685146.0
"Dec 16, 2010",22.1,22.15,21.85,21.95,54384062.0
"Dec 17, 2010",22.0,22.5,21.95,22.35,44284986.0
"Dec 20, 2010",22.35,22.35,22.0,22.15,21985958.0
"Dec 21, 2010",22.2,22.3,22.05,22.1,16351247.0
"Dec 22, 2010",22.05,22.15,21.75,21.8,57414850.0
"Dec 23, 2010",22.0,22.15,21.85,21.95,38906764.0
"Dec 24, 2010",21.9,22.0,21.85,21.95,10826496.0
"Dec 28, 2010",21.85,21.95,21.75,21.9,15953600.0
"Dec 29, 2010",21.8,22.2,21.8,22.0,24665722.0
"Dec 30, 2010",22.3,22.3,22.05,22.15,16080410.0
"Dec 31, 2010",22.3,22.3,21.65,21.85,9596693.0
"Jan 3, 2011",22.1,22.3,22.0,22.25,13705173.0
"Jan 4, 2011",22.8,22.8,22.35,22.45,26916819.0
"Jan 5, 2011",22.6,22.6,22.35,22.55,24733753.0
"Jan 6, 2011",22.65,22.65,22.2,22.25,27148821.0
"Jan 7, 2011",22.35,22.45,22.15,22.3,26760325.0
"Jan 10, 2011",22.3,22.3,21.75,21.8,44962920.0
"Jan 11, 2011",21.8,21.85,21.6,21.7,38631111.0
"Jan 12, 2011",21.7,21.7,21.2,21.45,51594412.0
"Jan 13, 2011",21.65,21.85,21.6,21.75,51894290.0
"Jan 14, 2011",21.75,21.75,21.35,21.4,42996316.0
"Jan 17, 2011",21.4,21.5,21.0,21.2,42672095.0
"Jan 18, 2011",21.2,21.45,21.1,21.15,27095600.0
"Jan 19, 2011",21.45,21.8,21.35,21.7,46643105.0
"Jan 20, 2011",21.55,21.95,21.55,21.8,36944669.0
"Jan 21, 2011",21.65,21.8,21.6,21.65,19082580.0
"Jan 24, 2011",21.8,22.1,21.6,21.9,31604657.0
"Jan 25, 2011",21.9,22.0,21.65,21.8,17308848.0
"Jan 26, 2011",21.9,21.95,21.5,21.7,15574800.0
"Jan 27, 2011",21.95,22.0,21.8,21.8,20100338.0
"Jan 28, 2011",22.0,22.0,21.6,21.75,18614425.0
"Jan 31, 2011",21.45,21.65,21.3,21.4,27054564.0
"Feb 1, 2011",21.6,21.65,21.3,21.5,19244687.0
"Feb 2, 2011",21.65,21.75,21.5,21.6,14623381.0
"Feb 7, 2011",21.9,22.05,21.85,22.05,40023172.0
"Feb 8, 2011",22.1,22.45,22.0,22.4,35337898.0
"Feb 9, 2011",22.5,22.5,22.0,22.05,47666371.0
"Feb 10, 2011",22.05,22.45,22.0,22.1,47867000.0
"Feb 11, 2011",22.35,22.6,22.2,22.45,42156075.0
"Feb 14, 2011",22.15,22.45,22.15,22.45,24880077.0
"Feb 15, 2011",22.4,22.5,22.35,22.4,20133304.0
"Feb 16, 2011",22.5,22.5,22.05,22.2,14047991.0
"Feb 17, 2011",22.15,22.2,21.8,21.85,25005151.0
"Feb 18, 2011",22.0,22.05,21.7,21.8,18877811.0
"Feb 21, 2011",21.8,21.8,21.55,21.6,24000367.0
"Feb 22, 2011",21.5,21.6,21.3,21.5,15120699.0
"Feb 23, 2011",21.55,21.6,21.3,21.35,16645527.0
"Feb 24, 2011",21.25,21.5,21.0,21.1,31586382.0
"Feb 25, 2011",22.0,22.6,21.75,22.25,101770244.0
"Feb 28, 2011",22.6,22.8,22.4,22.75,70573760.0
"Mar 1, 2011",22.75,22.95,22.55,22.6,52176705.0
"Mar 2, 2011",22.4,22.5,22.15,22.45,24220188.0
"Mar 3, 2011",22.45,22.85,22.45,22.75,29960222.0
"Mar 4, 2011",23.0,23.0,22.7,22.85,40771345.0
"Mar 7, 2011",23.2,23.25,22.9,23.0,48159247.0
"Mar 8, 2011",23.15,23.95,23.1,23.9,135198458.0
"Mar 9, 2011",24.0,24.1,23.55,23.7,52142005.0
"Mar 10, 2011",23.9,23.9,23.4,23.7,27836410.0
"Mar 11, 2011",23.5,23.6,22.8,23.05,50362079.0
"Mar 14, 2011",22.9,23.1,22.5,23.0,39384354.0
"Mar 15, 2011",22.8,22.85,21.75,22.7,70838311.0
"Mar 16, 2011",23.0,23.25,22.75,23.1,55554818.0
"Mar 17, 2011",22.8,22.95,22.65,22.75,55259267.0
"Mar 18, 2011",22.95,22.95,22.45,22.6,40772916.0
"Mar 21, 2011",22.7,23.1,22.65,23.0,27554187.0
"Mar 22, 2011",23.15,23.15,22.9,23.05,26673180.0
"Mar 23, 2011",23.0,23.65,23.0,23.5,61491705.0
"Mar 24, 2011",23.75,23.95,23.6,23.85,70485245.0
"Mar 25, 2011",24.0,24.1,23.5,24.0,73641524.0
"Mar 28, 2011",23.6,24.2,23.6,23.9,37667798.0
"Mar 29, 2011",23.85,24.0,23.8,23.9,25826313.0
"Mar 30, 2011",24.15,24.15,23.8,23.8,25061926.0
"Mar 31, 2011",24.0,24.15,23.85,23.95,38490133.0
"Apr 1, 2011",24.4,24.4,24.1,24.15,46469449.0
"Apr 4, 2011",24.2,24.55,24.2,24.55,43728894.0
"Apr 6, 2011",24.9,24.9,24.65,24.85,45582950.0
"Apr 7, 2011",24.85,24.95,24.6,24.8,25688332.0
"Apr 8, 2011",24.65,24.8,24.05,24.2,38291868.0
"Apr 11, 2011",24.2,24.5,24.05,24.15,23141552.0
"Apr 12, 2011",24.15,24.2,23.95,24.1,26491617.0
"Apr 13, 2011",24.1,24.6,24.05,24.45,34113367.0
"Apr 14, 2011",24.5,24.85,24.35,24.85,29314550.0
"Apr 15, 2011",24.9,25.15,24.75,25.1,53813886.0
"Apr 18, 2011",25.4,26.2,25.4,25.75,75292895.0
"Apr 19, 2011",25.7,26.05,25.5,26.0,66450278.0
